code,title,trust_service_category,category,description,is_required,weight
WQAA-VH-12,GPS Location Mapping,Water Operations,"VH - Valves, Hydrants, and Field Records","Identify, to the extent possible, the geographic location of each valve and fire hydrant using GPS or other location technology.",TRUE,1.0
WQAA-VH-13,Field Record Retention,Water Operations,"VH - Valves, Hydrants, and Field Records","Retain inspection, test, and flushing records for valves and hydrants for at least 12 years.",TRUE,1.0
WQAA-CY-01,Cybersecurity Program,Cybersecurity Program,CY - Cybersecurity Program,"Develop, maintain, and implement a cybersecurity program that defines oversight, accountabilities, responsibilities, policies, plans, processes, and procedures for managing cyber risk to the public water system.",TRUE,1.0
WQAA-CY-02,Framework Alignment,Cybersecurity Program,CY - Cybersecurity Program,"Align the cybersecurity program to an accepted framework, such as NIST Cybersecurity Framework, CIS Controls, or the ISO/IEC 27000 family of standards.",TRUE,1.0
WQAA-CY-03,Cyber Program Update,Cybersecurity Program,CY - Cybersecurity Program,"Review and update the cybersecurity program when required by WQAA, NJCCIC guidance, material system changes, incidents, or significant changes in the threat environment.",TRUE,1.0
WQAA-CY-04,NJCCIC Submission,Cybersecurity Program,CY - Cybersecurity Program,Submit the developed or revised cybersecurity program to the New Jersey Cybersecurity and Communications Integration Cell as required.,TRUE,1.0
WQAA-CY-05,NJCCIC Membership,Cybersecurity Program,CY - Cybersecurity Program,Maintain membership in the New Jersey Cybersecurity and Communications Integration Cell and use it as the designated coordination point for cybersecurity information sharing and reporting.,TRUE,1.0
WQAA-CY-06,Cyber Insurance,Cybersecurity Program,CY - Cybersecurity Program,Purchase and maintain cybersecurity insurance coverage as required by WQAA amendments.,TRUE,1.0
WQAA-CY-07,Critical System Scope,Cybersecurity Program,CY - Cybersecurity Program,"Identify systems in scope for cybersecurity oversight, including industrial control systems, SCADA or operational systems, and customer information systems containing personal information.",TRUE,1.0
WQAA-CY-08,Critical System Inventory,Cyber Risk Management,CY - Cybersecurity Program,Maintain and annually review an inventory of critical systems and document changes that affect the cybersecurity program scope.,TRUE,1.0
WQAA-CY-09,Cyber Risk Assessment,Cyber Risk Management,CY - Cybersecurity Program,"Assess and prioritize cyber risks to identified systems at least annually, including vulnerabilities, current threats, physical risks, disaster recovery, and business continuity considerations.",TRUE,1.0
WQAA-CY-10,Risk Methodology,Cyber Risk Management,CY - Cybersecurity Program,"Document the risk assessment methodology and criteria used to assess, prioritize, and accept or remediate cybersecurity risks.",TRUE,1.0
WQAA-CY-11,Risk Controls,Cyber Risk Management,CY - Cybersecurity Program,"Implement administrative, technical, physical, and compensating controls to mitigate prioritized cybersecurity risks to acceptable levels.",TRUE,1.0
WQAA-CY-12,Risk Review,Cyber Risk Management,CY - Cybersecurity Program,Review the cybersecurity risk assessment methodology at least annually and incorporate needed revisions.,TRUE,1.0
WQAA-SA-01,Log Monitoring,Situational Awareness,SA - Situational Awareness,Monitor log files for critical systems on a regular and consistent basis based on identified risk.,TRUE,1.0
WQAA-SA-02,Threat Monitoring,Situational Awareness,SA - Situational Awareness,"Monitor internal and external sources of cyber threat and vulnerability information, including vendor, ISAC, ISAO, NJCCIC, and other relevant advisories.",TRUE,1.0
WQAA-SA-03,Threat Applicability,Situational Awareness,SA - Situational Awareness,Maintain a review process to determine whether threat and vulnerability information applies to the water system and what response is required.,TRUE,1.0
WQAA-SA-04,Patch Review,Situational Awareness,SA - Situational Awareness,Review vendor security patches in a timely manner and implement applicable patches or compensating controls based on risk.,TRUE,1.0
WQAA-IR-01,Incident Process,Incident Response,IR - Incident Reporting and Recovery,"Create and maintain a cybersecurity incident reporting process for cyber incidents, suspicious activity, and unusual cyber activity affecting the water system.",TRUE,1.0
WQAA-IR-02,NJCCIC Reporting,Incident Response,IR - Incident Reporting and Recovery,"Promptly report cybersecurity incidents to NJCCIC and follow applicable NJCCIC, BPU, and regulatory reporting formats and timelines.",TRUE,1.0
WQAA-IR-03,ICS Unauthorized Access,Incident Response,IR - Incident Reporting and Recovery,Report cyber events involving unauthorized access to an industrial control system or authorized users exceeding their access.,TRUE,1.0
WQAA-IR-04,Unauthorized Code,Incident Response,IR - Incident Reporting and Recovery,"Report discovery of unauthorized programs, information, code, or commands on an industrial control system.",TRUE,1.0
WQAA-IR-05,Cyber Extortion,Incident Response,IR - Incident Reporting and Recovery,"Report threats, extortion attempts, or demands involving damage to the integrity or availability of industrial control systems, data, programs, systems, or information.",TRUE,1.0
WQAA-IR-06,PII Breach Coordination,Incident Response,IR - Incident Reporting and Recovery,Coordinate and document required notifications for breaches involving customer personal information under applicable New Jersey law.,TRUE,1.0
WQAA-IR-07,Response Recovery Plan,Incident Response,IR - Incident Reporting and Recovery,"Maintain a cybersecurity incident response and recovery plan covering identification, response, recovery, escalation, communications, and evidence preservation.",TRUE,1.0
WQAA-IR-08,Forensic Log Retention,Incident Response,IR - Incident Reporting and Recovery,Define and implement log file retention protocols that support cybersecurity investigations and forensic analysis.,TRUE,1.0
WQAA-IR-09,Response Exercise,Incident Response,IR - Incident Reporting and Recovery,"Exercise the cybersecurity incident response and recovery plan at least once every 24 calendar months using a tabletop exercise, functional exercise, or actual incident.",TRUE,1.0
WQAA-IR-10,Lessons Learned,Incident Response,IR - Incident Reporting and Recovery,Document lessons learned after incident response exercises or actual cyber incidents and update the response and recovery plan as appropriate.,TRUE,1.0
WQAA-AT-01,Awareness Program,Security Awareness,AT - Security Awareness and Training,Develop and implement a cybersecurity awareness program that covers general cybersecurity topics and emerging threats.,TRUE,1.0
WQAA-AT-02,Awareness Review,Security Awareness,AT - Security Awareness and Training,Review the cybersecurity awareness program at least every two years and update it as appropriate.,TRUE,1.0
WQAA-AT-03,Awareness Communications,Security Awareness,AT - Security Awareness and Training,Provide periodic cybersecurity awareness communications throughout the year.,TRUE,1.0
WQAA-AT-04,Role-Based Training,Security Awareness,AT - Security Awareness and Training,Provide cybersecurity training that explains roles and responsibilities for personnel with access to industrial control systems and administrators of customer information systems containing personal information.,TRUE,1.0
WQAA-AT-05,New Personnel Training,Security Awareness,AT - Security Awareness and Training,Maintain protocols for cybersecurity training of new personnel and periodic refresher training.,TRUE,1.0
WQAA-NV-01,NOV Trigger Monitoring,NOV Remediation,NV - Notice of Violation Remediation,Monitor notices of violation to identify when WQAA mitigation planning is triggered by three notices for any reason or two notices involving maximum contaminant level exceedances within a 12-month period.,TRUE,1.0
WQAA-NV-02,Mitigation Plan,NOV Remediation,NV - Notice of Violation Remediation,"Submit a mitigation plan within 60 days after the applicable notice of violation trigger, specifying whether the issue will be addressed by operational changes or capital expenditure.",TRUE,1.0
WQAA-NV-03,Mitigation Schedule,NOV Remediation,NV - Notice of Violation Remediation,Include an implementation schedule in the notice of violation mitigation plan.,TRUE,1.0
WQAA-NV-04,Technical Analysis,NOV Remediation,NV - Notice of Violation Remediation,Support the mitigation plan with a technical analysis prepared by the licensed operator and professional engineer explaining how recurrence will be prevented.,TRUE,1.0
WQAA-NV-05,Capital Integration,NOV Remediation,NV - Notice of Violation Remediation,Incorporate required capital expenditures from notice of violation mitigation plans into the asset management plan.,TRUE,1.0
WQAA-CR-01,Annual Certification,Regulatory Reporting,CR - Certification and Reporting,"Prepare annual executive certification of compliance with federal and State drinking water regulations, WQAA operational requirements, cybersecurity program requirements, and infrastructure improvement requirements.",TRUE,1.0
WQAA-CR-02,Authorized Certifier,Regulatory Reporting,CR - Certification and Reporting,"Ensure the annual certification is signed by the responsible corporate officer, executive director, mayor, chief executive officer, or other applicable authorized official.",TRUE,1.0
WQAA-CR-03,Certification Submission,Regulatory Reporting,CR - Certification and Reporting,"Submit the annual WQAA certification to the Department of Environmental Protection and, if applicable, the Board of Public Utilities.",TRUE,1.0
WQAA-CR-04,Website Posting,Regulatory Reporting,CR - Certification and Reporting,"Post the annual WQAA certification, including cybersecurity program certification information, on the purveyor's internet website where required.",TRUE,1.0
WQAA-CR-05,Audit Readiness,Regulatory Reporting,CR - Certification and Reporting,"Maintain complete, accurate, and reviewable support for annual certifications to support DEP audit requests and avoid false or misleading certification risk.",TRUE,1.0
WQAA-AM-01,Asset Management Plan,Asset Management,AM - Asset Management and Capital Planning,"Implement an asset management plan designed to inspect, maintain, repair, and renew water system infrastructure consistent with American Water Works Association standards.",TRUE,1.0
WQAA-AM-02,Water Main Renewal,Asset Management,AM - Asset Management and Capital Planning,Maintain a water main renewal program designed to achieve a 150-year replacement cycle or another justified cycle based on engineering analysis of asset condition and service life.,TRUE,1.0
WQAA-AM-03,Treatment Program,Asset Management,AM - Asset Management and Capital Planning,"Maintain a water supply and treatment program to inspect, maintain, repair, renew, and upgrade wells, intakes, pumps, and treatment facilities.",TRUE,1.0
WQAA-AM-04,Regulatory Alignment,Asset Management,AM - Asset Management and Capital Planning,"Ensure asset management and treatment programs align with applicable federal and State drinking water regulations, American Water Works Association standards, and mitigation plan commitments.",TRUE,1.0
WQAA-AM-05,Priority Funding,Asset Management,AM - Asset Management and Capital Planning,Dedicate funds annually to address and remediate the highest-priority projects identified in the asset management plan.,TRUE,1.0
WQAA-AM-06,Plan Certification,Asset Management,AM - Asset Management and Capital Planning,Certify asset management plans and system condition reports through the licensed operator or professional engineer and the applicable responsible executive official.,TRUE,1.0
WQAA-AM-07,Capital Report,Asset Management,AM - Asset Management and Capital Planning,"Submit the required capital improvement report identifying infrastructure improvements completed, planned, and associated costs.",TRUE,1.0
WQAA-AM-08,Ten-Year Outlook,Asset Management,AM - Asset Management and Capital Planning,"Include completed, planned, and costed capital improvements from the prior year and over the next 10 years in annual capital improvement reporting.",TRUE,1.0
WQAA-AM-09,Municipal DCA Filing,Asset Management,AM - Asset Management and Capital Planning,"For municipal water departments or municipal water authorities, submit required asset management or capital improvement reports to the Division of Local Government Services in the Department of Community Affairs.",TRUE,1.0
WQAA-AM-10,Portal Submission,Asset Management,AM - Asset Management and Capital Planning,"Submit required reports electronically through the centralized portal when available, while maintaining the obligation to submit even if the portal is not available.",TRUE,1.0
WQAA-RC-01,Report Card Support,Regulatory Reporting,RC - State Review and Audit Readiness,"Maintain records and evidence needed to support NJDEP report card review of compliance with drinking water quality standards, WQAA requirements, and other relevant factors.",TRUE,1.0
WQAA-RC-02,Certification Audit Support,Regulatory Reporting,RC - State Review and Audit Readiness,"Maintain audit-ready support for annual certifications and respond to DEP audit requests, including requests following late, missing, false, or misleading certifications.",TRUE,1.0
